Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
2;2020;1501;Prescott, Dak;QB;dal;h;atl;43.8;6800
2;2020;1378;Newton, Cam;QB;nwe;a;sea;38.58;6400
2;2020;1529;Allen, Josh;QB;buf;a;mia;37.48;6700
2;2020;1412;Wilson, Russell;QB;sea;h;nwe;34.42;6500
2;2020;1537;Murray, Kyler;QB;ari;h;was;33.14;6100
2;2020;1523;Mahomes II, Patrick;QB;kan;a;lac;30.48;7700
2;2020;1550;Burrow, Joe;QB;cin;a;cle;28.54;5900
2;2020;1301;Ryan, Matt;QB;atl;a;dal;28.52;6600
2;2020;1540;Minshew, Gardner;QB;jac;a;ten;28.46;5800
2;2020;1242;Fitzpatrick, Ryan;QB;mia;h;buf;27.32;5200
2;2020;1410;Tannehill, Ryan;QB;ten;h;jac;26.76;5900
2;2020;1552;Herbert, Justin;QB;lac;h;kan;26.24;5100
2;2020;1490;Goff, Jared;QB;lar;a;phi;23.98;5800
2;2020;1441;Carr, Derek;QB;lvr;h;nor;22.58;5700
2;2020;1232;Roethlisberger, Ben;QB;pit;h;den;22.24;6300
2;2020;1494;Driskel, Jeff;QB;den;a;pit;19.74;4100
2;2020;1252;Rodgers, Aaron;QB;gnb;h;det;19.2;6900
2;2020;1151;Brees, Drew;QB;nor;a;lvr;18.48;6800
2;2020;1527;Jackson, Lamar;QB;bal;a;hou;17.56;8200
2;2020;1340;Stafford, Matthew;QB;det;a;gnb;17.16;6200
2;2020;1528;Mayfield, Baker;QB;cle;h;cin;16.26;5600
2;2020;1518;Watson, Deshaun;QB;hou;h;bal;15.7;6400
2;2020;1519;Trubisky, Mitchell;QB;chi;h;nyg;15.2;5500
2;2020;1439;Bridgewater, Teddy;QB;car;a;tam;14.68;5800
2;2020;1514;Wentz, Carson;QB;phi;h;lar;14.38;6000
2;2020;1452;Garoppolo, Jimmy;QB;sfo;a;nyj;13.24;5700
2;2020;1538;Haskins, Dwayne;QB;was;a;ari;12.72;5100
2;2020;1231;Rivers, Philip;QB;ind;h;min;11.86;5900
2;2020;1524;Darnold, Sam;QB;nyj;h;sfo;11.86;5100
2;2020;1131;Brady, Tom;QB;tam;h;car;10.68;6500
2;2020;1539;Jones, Daniel;QB;nyg;a;chi;9.74;5800
2;2020;1534;Mullens, Nick;QB;sfo;a;nyj;1.64;4100
2;2020;1415;Cousins, Kirk;QB;min;a;ind;1.52;5900
2;2020;1530;Hill, Taysom;QB;nor;a;lvr;0.8;4100
2;2020;1553;Streveler, Chris;QB;ari;h;was;0;4000
2;2020;1403;Dalton, Andy;QB;dal;h;atl;0;5000
2;2020;1544;Boyle, Tim;QB;gnb;h;det;-0.1;4100
2;2020;1547;Lock, Drew;QB;den;a;pit;-0.2;5400
2;2020;5543;Jones, Aaron;RB;gnb;h;det;48.6;7100
2;2020;5562;Kamara, Alvin;RB;nor;a;lvr;38.4;7800
2;2020;5534;Fournette, Leonard;RB;tam;h;car;30.6;4800
2;2020;5622;Chubb, Nick;RB;cle;h;cin;29.3;6200
2;2020;5536;McCaffrey, Christian;RB;car;a;tam;24.8;10000
2;2020;5560;Hunt, Kareem;RB;cle;h;cin;24.1;5600
2;2020;5849;Robinson, James;RB;jac;a;ten;24;4400
2;2020;5444;Elliott, Ezekiel;RB;dal;h;atl;23.2;8200
2;2020;5537;Conner, James;RB;pit;h;den;23.1;6800
2;2020;5820;Taylor, Jonathan;RB;ind;h;min;22;5700
2;2020;5713;Montgomery, David;RB;chi;h;nyg;21.7;5600
2;2020;5714;Sanders, Miles;RB;phi;h;lar;21.1;6000
2;2020;5716;Henderson, Darrell;RB;lar;a;phi;20.1;4600
2;2020;5565;Carson, Chris;RB;sea;h;nwe;19.8;6400
2;2020;5575;Ekeler, Austin;RB;lac;h;kan;18.8;6500
2;2020;5414;Mostert, Raheem;RB;sfo;a;nyj;18.7;6400
2;2020;5559;Cook, Dalvin;RB;min;a;ind;17.1;7600
2;2020;2991;Gordon, Melvin;RB;den;a;pit;16.4;5200
2;2020;2793;Ingram, Mark;RB;bal;a;hou;15.7;5400
2;2020;2816;Lewis, Dion;RB;nyg;a;chi;15.6;4500
2;2020;5320;Davis, Mike;RB;car;a;tam;15.5;4000
2;2020;5789;Gaskin, Myles;RB;mia;h;buf;14.2;4300
2;2020;2935;McKinnon, Jerick;RB;sfo;a;nyj;13.7;4200
2;2020;5712;Jacobs, Josh;RB;lvr;h;nor;13.5;7500
2;2020;5829;Kelley, Joshua;RB;lac;h;kan;13.3;4700
2;2020;5818;Edwards-Helaire, Clyde;RB;kan;a;lac;13;7400
2;2020;5535;Mixon, Joe;RB;cin;a;cle;12.6;6100
2;2020;5827;Gibson, Antonio;RB;was;a;ari;12.2;4300
2;2020;5822;Swift, D'Andre;RB;det;a;gnb;12.2;4900
2;2020;2915;Thompson, Chris;RB;jac;a;ten;11.7;4000
2;2020;5446;Drake, Kenyan;RB;ari;h;was;11.5;5900
2;2020;5617;Jones, Ronald;RB;tam;h;car;10.7;5200
2;2020;5717;Singletary, Devin;RB;buf;a;mia;9.6;5200
2;2020;5621;Johnson, Kerryon;RB;det;a;gnb;9.2;4000
2;2020;2890;Burkhead, Rex;RB;nwe;a;sea;8.9;4100
2;2020;5490;Richard, Jalen;RB;lvr;h;nor;8.6;4000
2;2020;5764;Ingold, Alec;RB;lvr;h;nor;8.5;4000
2;2020;5445;Henry, Derrick;RB;ten;h;jac;8.4;7900
2;2020;5541;Williams, Jamaal;RB;gnb;h;det;8.3;4200
2;2020;2889;Bernard, Giovani;RB;cin;a;cle;7.5;4300
2;2020;5681;Edwards, Gus;RB;bal;a;hou;7.3;4000
2;2020;5624;Scott, Boston;RB;phi;h;lar;7.3;5000
2;2020;5778;Johnson, Jakob;RB;nwe;a;sea;7.1;4000
2;2020;5821;Dobbins, J.K.;RB;bal;a;hou;7.1;5100
2;2020;2707;McCoy, LeSean;RB;tam;h;car;7.1;4000
2;2020;5743;Ricard, Patrick;RB;bal;a;hou;7.1;4000
2;2020;5395;Johnson, David;RB;hou;h;bal;7;5800
2;2020;5447;Howard, Jordan;RB;mia;h;buf;6.4;4700
2;2020;2467;Gore, Frank;RB;nyj;h;sfo;6.3;4500
2;2020;2992;Gurley, Todd;RB;atl;a;dal;6.1;6100
2;2020;2994;Coleman, Tevin;RB;sfo;a;nyj;6;4000
2;2020;2933;Hyde, Carlos;RB;sea;h;nwe;5.7;4200
2;2020;2899;Murray, Latavius;RB;nor;a;lvr;5.3;4500
2;2020;5586;McKissic, J.D.;RB;was;a;ari;5.3;4100
2;2020;5567;Breida, Matt;RB;mia;h;buf;4.9;4500
2;2020;5441;Brown, Malcolm;RB;lar;a;phi;4.7;5700
2;2020;5392;Montgomery, Ty;RB;nor;a;lvr;4.5;4000
2;2020;5608;Hill, Brian;RB;atl;a;dal;4.5;4000
2;2020;5619;Edmonds, Chase;RB;ari;h;was;4.3;4600
2;2020;2553;Peterson, Adrian;RB;det;a;gnb;4.1;4700
2;2020;5625;Wilkins, Jordan;RB;ind;h;min;4;4000
2;2020;5628;Ballage, Kalen;RB;nyj;h;sfo;3.7;0
2;2020;5564;Cohen, Tarik;RB;chi;h;nyg;3.7;4800
2;2020;5824;Moss, Zack;RB;buf;a;mia;3.7;4800
2;2020;5614;Barkley, Saquon;RB;nyg;a;chi;2.8;8400
2;2020;5720;Mattison, Alexander;RB;min;a;ind;2.6;4300
2;2020;2908;Juszczyk, Kyle;RB;sfo;a;nyj;2.6;4000
2;2020;5644;Armah, Alex;RB;car;a;tam;2.4;4000
2;2020;5708;Williams, Darrel;RB;kan;a;lac;2.2;4000
2;2020;5744;Thompson, Darwin;RB;kan;a;lac;2.1;4000
2;2020;5738;Homer, Travis;RB;sea;h;nwe;2.1;4000
2;2020;5658;Smith, Ito;RB;atl;a;dal;2;4000
2;2020;5620;Freeman, Royce;RB;den;a;pit;2;4000
2;2020;5718;Pollard, Tony;RB;dal;h;atl;1.9;4900
2;2020;5615;Michel, Sony;RB;nwe;a;sea;1.9;4300
2;2020;5825;Dillon, AJ;RB;gnb;h;det;1.7;4000
2;2020;5863;Perine, La'Mical;RB;nyj;h;sfo;1.7;4000
2;2020;5468;Booker, Devontae;RB;lvr;h;nor;1.5;4000
2;2020;5623;Hines, Nyheim;RB;ind;h;min;1.4;5300
2;2020;5688;Samuels, Jaylen;RB;pit;h;den;1.4;4000
2;2020;5470;Ervin, Tyler;RB;gnb;h;det;1.4;4000
2;2020;5492;Smith, Keith;RB;atl;a;dal;1.3;4000
2;2020;5819;Akers, Cam;RB;lar;a;phi;1.3;4500
2;2020;5815;Nall, Ryan;RB;chi;h;nyg;1.2;4000
2;2020;5482;Janovich, Andy;RB;cle;h;cin;1;4000
2;2020;2974;Perry, Senorise;RB;ten;h;jac;0.9;4000
2;2020;5542;McNichols, Jeremy;RB;ten;h;jac;0.7;0
2;2020;5581;Ham, C.J.;RB;min;a;ind;0.4;4000
2;2020;5703;Wilson Jr., Jeff;RB;sfo;a;nyj;0.3;4000
2;2020;5507;Barber, Peyton;RB;was;a;ari;0.1;4400
2;2020;5740;Snell, Benny;RB;pit;h;den;0.1;4500
2;2020;5662;Boone, Mike;RB;min;a;ind;0;4000
2;2020;5415;Burton, Michael;RB;nor;a;lvr;0;4000
2;2020;5663;Bellore, Nick;RB;sea;h;nwe;0;4000
2;2020;2834;Miller, Bruce;RB;jac;a;ten;0;4000
2;2020;5800;Blasingame, Khari;RB;ten;h;jac;0;4000
2;2020;5762;Gillaspia, Cullen;RB;hou;h;bal;0;4000
2;2020;5495;Foster, D.J.;RB;ari;h;was;0;4000
2;2020;5737;Cox, Chandler;RB;mia;h;buf;0;4000
2;2020;5588;Penny, Elijhaa;RB;nyg;a;chi;0;4000
2;2020;2995;Abdullah, Ameer;RB;min;a;ind;0;4000
2;2020;5742;Johnson, Ty;RB;det;a;gnb;0;4000
2;2020;2822;Sherman, Anthony;RB;kan;a;lac;0;4000
2;2020;5788;Laird, Patrick;RB;mia;h;buf;0;4000
2;2020;5746;Johnson, D'Ernest;RB;cle;h;cin;0;4000
2;2020;5763;Howell, Buddy;RB;hou;h;bal;0;4000
2;2020;5504;Watt, Derek;RB;pit;h;den;0;4000
2;2020;5697;Ogunbowale, Dare;RB;jac;a;ten;0;4000
2;2020;5823;Vaughn, Ke'Shawn;RB;tam;h;car;0;4000
2;2020;5661;Adams, Josh;RB;nyj;h;sfo;0;4400
2;2020;2820;Jones, Taiwan;RB;buf;a;mia;0;4000
2;2020;5538;Perine, Samaje;RB;cin;a;cle;0;4000
2;2020;5583;Clement, Corey;RB;phi;h;lar;0;4600
2;2020;5657;Cannon, Trenton;RB;car;a;tam;0;4000
2;2020;5850;Taylor, J.J.;RB;nwe;a;sea;-0.1;4000
2;2020;5631;Ridley, Calvin;WR;atl;a;dal;32.9;6800
2;2020;5424;Diggs, Stefon;WR;buf;a;mia;32.3;6500
2;2020;3826;Edelman, Julian;WR;nwe;a;sea;28.9;6200
2;2020;5757;McLaurin, Terry;WR;was;a;ari;28.5;5900
2;2020;5253;Evans, Mike;WR;tam;h;car;26.4;6400
2;2020;5754;Johnson, Diontae;WR;pit;h;den;23.2;4500
2;2020;5633;Moore, D.J.;WR;car;a;tam;23;6300
2;2020;5502;Anderson, Robby;WR;car;a;tam;21.9;5200
