"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Ezekiel Elliott","DAL","NYG","RB","$7800","24.1","5.7","28%","15560282"
"Mike Davis","CAR","ATL","RB","$6400","20.1","4.5","23%","15560300"
"Clyde Edwards-Helaire","KC","LV","RB","$6800","20.3","3.8","36%","15560288"
"Kareem Hunt","CLE","IND","RB","$6500","19.4","3.6","19%","15560296"
"Lamar Jackson","BAL","CIN","QB","$7900","27.7","3.4","15%","15560217"
"Patrick Mahomes","KC","LV","QB","$7700","27.1","3.3","11%","15560218"
"DeAndre Hopkins","ARI","NYJ","WR","$7900","21.8","3.2","11%","15560510"
"Deshaun Watson","HOU","JAX","QB","$6900","24.5","3.2","11%","15560222"
"Travis Kelce","KC","LV","TE","$6400","18.7","3.1","11%","15560850"
"DJ Moore","CAR","ATL","WR","$6000","17.7","2.8","19%","15560542"
"Robby Anderson","CAR","ATL","WR","$5900","17.4","2.8","23%","15560546"
"George Kittle","SF","MIA","TE","$6600","18.8","2.7","23%","15560848"
"Jimmy Garoppolo","SF","MIA","QB","$5500","19.7","2.6","3%","15560234"
"Calvin Ridley","ATL","CAR","WR","$7500","20.0","2.2","15%","15560512"
"Dak Prescott","DAL","NYG","QB","$7400","25.0","2.2","15%","15560220"
"Tyreek Hill","KC","LV","WR","$6900","18.8","2.2","15%","15560518"
"Kyle Allen","WAS","LA","QB","$4100","15.0","2.2","3%","15560271"
"Matt Ryan","ATL","CAR","QB","$6100","21.0","2.1","3%","15560226"
"Darren Waller","LV","KC","TE","$5900","16.8","2.1","11%","15560854"
"Daniel Jones","NYG","DAL","QB","$5400","18.9","2.1","11%","15560237"
"Kyler Murray","ARI","NYJ","QB","$7200","24.2","1.9","7%","15560221"
"James Robinson","JAX","HOU","RB","$6700","18.1","1.8","11%","15560290"
"David Johnson","HOU","JAX","RB","$5200","15.0","1.7","11%","15560324"
"James Conner","PIT","PHI","RB","$6900","18.3","1.6","7%","15560286"
"Gardner Minshew II","JAX","HOU","QB","$6200","20.7","1.5","7%","15560225"
"Teddy Bridgewater","CAR","ATL","QB","$5900","19.7","1.4","7%","15560229"
"Brandin Cooks","HOU","JAX","WR","$4100","12.4","1.3","11%","15560624"
"Will Fuller V","HOU","JAX","WR","$6600","17.4","1.3","15%","15560524"
"Darius Slayton","NYG","DAL","WR","$4800","13.7","1.2","23%","15560586"
"Evan Engram","NYG","DAL","TE","$4600","13.1","1.0","15%","15560870"
"Cooper Kupp","LA","WAS","WR","$6500","16.8","0.9","7%","15560528"
"Terry McLaurin","WAS","LA","WR","$6100","16.0","0.9","7%","15560538"
"Sammy Watkins","KC","LV","WR","$4500","12.7","0.8","7%","15560610"
"Josh Jacobs","LV","KC","RB","$6300","16.3","0.8","11%","15560304"
"Diontae Johnson","PIT","PHI","WR","$5600","14.9","0.8","7%","15560552"
"Derek Carr","LV","KC","QB","$5300","17.2","0.7","1%","15560240"
"Miles Sanders","PHI","PIT","RB","$6500","16.6","0.7","3%","15560292"
"Olamide Zaccheaus","ATL","CAR","WR","$3000","9.4","0.4","15%","15560814"
"Marquise Brown","BAL","CIN","WR","$6300","15.9","0.4","7%","15560534"
"Joe Flacco","NYJ","ARI","QB","$4800","15.3","0.4","1%","15560252"
"Antonio Gibson","WAS","LA","RB","$5000","13.3","0.4","3%","15560328"
"Steelers ","PIT","PHI","DST","$3800","9.0","0.4","11%","15561043"
"Todd Gurley II","ATL","CAR","RB","$5700","14.6","0.3","3%","15560314"
"Michael Gallup","DAL","NYG","WR","$5400","14.0","0.3","11%","15560558"
"Ryan Fitzpatrick","MIA","SF","QB","$5600","17.6","0.3","1%","15560232"
"Amari Cooper","DAL","NYG","WR","$7400","17.9","0.2","19%","15560514"
"Cowboys ","DAL","NYG","DST","$3100","7.4","0.2","7%","15561050"
"Rams ","LA","WAS","DST","$4000","8.9","0.0","7%","15561042"
"CeeDee Lamb","DAL","NYG","WR","$6000","14.8","-0.1","15%","15560540"
"Robert Woods","LA","WAS","WR","$6400","15.5","-0.1","7%","15560532"
"Texans ","HOU","JAX","DST","$2600","5.9","-0.2","11%","15561056"
"Mark Andrews","BAL","CIN","TE","$6200","15.0","-0.3","7%","15560852"
"Odell Beckham Jr.","CLE","IND","WR","$6400","15.3","-0.4","7%","15560530"
"Jared Goff","LA","WAS","QB","$6500","19.7","-0.4","3%","15560224"
"Zach Ertz","PHI","PIT","TE","$5700","13.9","-0.4","3%","15560856"
"Philip Rivers","IND","CLE","QB","$5800","17.5","-0.5","1%","15560230"
"T.Y. Hilton","IND","CLE","WR","$4900","12.2","-0.5","7%","15560572"
"DJ Chark Jr.","JAX","HOU","WR","$6500","15.4","-0.5","11%","15560526"
"Jonathan Taylor","IND","CLE","RB","$6200","14.7","-0.6","3%","15560306"
"DeVante Parker","MIA","SF","WR","$5900","14.1","-0.6","7%","15560544"
"Jeff Smith","NYJ","ARI","WR","$3000","8.3","-0.6","3%","15560826"
"Ravens ","BAL","CIN","DST","$3900","8.1","-0.6","7%","15561044"
"Russell Gage","ATL","CAR","WR","$5100","12.4","-0.7","11%","15560566"
"Devonta Freeman","NYG","DAL","RB","$4600","11.4","-0.7","3%","15560342"
"Jamison Crowder","NYJ","ARI","WR","$5800","13.8","-0.7","3%","15560548"
"Jerick McKinnon","SF","MIA","RB","$5800","13.8","-0.7","11%","15560312"
"49ers ","SF","MIA","DST","$3700","7.6","-0.7","11%","15561045"
"Zach Pascal","IND","CLE","WR","$4600","11.3","-0.8","3%","15560602"
"Myles Gaskin","MIA","SF","RB","$4800","11.7","-0.8","3%","15560336"
"Logan Thomas","WAS","LA","TE","$3500","9.1","-0.8","3%","15560884"
"Browns ","CLE","IND","DST","$2700","5.6","-0.8","7%","15561054"
"Greg Ward","PHI","PIT","WR","$4600","11.2","-0.9","1%","15560606"
"Colts ","IND","CLE","DST","$3300","6.7","-0.9","1%","15561049"
"Jets ","NYJ","ARI","DST","$2500","5.1","-0.9","3%","15561057"
"Kenyan Drake","ARI","NYJ","RB","$5700","13.3","-1.0","7%","15560316"
"Chris Herndon","NYJ","ARI","TE","$3200","8.4","-1.0","1%","15560902"
"Ben Roethlisberger","PIT","PHI","QB","$6600","19.4","-1.0","3%","15560223"
"Joe Mixon","CIN","BAL","RB","$6300","14.4","-1.1","3%","15560302"
"Trey Burton","IND","CLE","TE","$2900","7.6","-1.1","1%","15560912"
"Isaiah Ford","MIA","SF","WR","$3500","8.8","-1.1","1%","15560658"
"Carson Wentz","PHI","PIT","QB","$5600","16.3","-1.1","1%","15560233"
