PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,FPTS,FPTS/$,FLOOR,CEIL
21604,Ameer Abdullah,4000.00,ATL,RB,MIN,72655,0.27,0.07,-0.1,4.5
37421,Alex Armah,4000.00,CHI,RB,CAR,72656,0.61,0.15,-0.1,4.8
982262,Andrew Beck,2500.00,NEP,TE,DEN,72888,0.17,0.07,-0.1,4.5
982405,A.J. Brown,5600.00,HOU,WR,TEN,72652,17.02,3.04,9.3,25.5
21757,Amari Cooper,6800.00,ARI,WR,DAL,72658,19.98,2.94,11.7,28.9
11633,Andy Dalton,5800.00,ARI,QB,DAL,72658,24.70,4.26,16.4,33.2
1844274,AJ Dillon,4000.00,TBB,RB,GBP,72651,1.72,0.43,-0.1,6.7
982346,Ashton Dulin,3000.00,CIN,WR,IND,72654,1.71,0.57,-0.1,5.6
35425,Alex Erickson,3000.00,IND,WR,CIN,72654,1.31,0.44,-0.1,5.3
36910,Anthony Firkser,2500.00,HOU,TE,TEN,72652,6.07,2.43,2.1,10.7
1844674,Antonio Gandy-Golden,3000.00,NYG,WR,WAS,72653,2.33,0.78,-0.1,7.3
1844676,Antonio Gibson,5500.00,NYG,RB,WAS,72653,15.11,2.75,6.6,24.3
12897,A.J. Green,3900.00,IND,WR,CIN,72654,8.31,2.13,3.4,14.1
35576,Austin Hooper,3900.00,PIT,TE,CLE,72660,9.67,2.48,4.6,15.3
21742,Adam Humphries,4000.00,HOU,WR,TEN,72652,11.74,2.94,5.4,18.3
982789,Andy Isabella,4300.00,DAL,WR,ARI,72658,6.77,1.57,2.0,12.4
35610,Andy Janovich,4000.00,PIT,RB,CLE,72660,1.26,0.32,-0.1,6.3
36871,Aaron Jones,7600.00,TBB,RB,GBP,72651,18.18,2.39,7.5,28.2
1844610,Austin Mack,4500.00,WAS,WR,NYG,72653,1.77,0.39,-0.1,6.4
982173,Alexander Mattison,7200.00,ATL,RB,MIN,72655,22.20,3.08,10.7,33.8
1844186,Anthony McFarland,4000.00,CLE,RB,PIT,72660,3.68,0.92,0.1,9.3
328212,Anthony Miller,4300.00,CAR,WR,CHI,72656,7.83,1.82,2.8,13.4
1844837,Albert Okwuegbunam,2500.00,NEP,TE,DEN,72888,0.75,0.3,-0.1,3.8
11669,Adrian Peterson,4700.00,JAC,RB,DET,72659,11.24,2.39,3.8,19.4
12526,Andre Roberts,3000.00,KCC,WR,BUF,72662,0.74,0.25,-0.1,4.7
18179,Allen Robinson,7000.00,CAR,WR,CHI,72656,19.04,2.72,10.8,27.6
11601,Aaron Rodgers,7500.00,TBB,QB,GBP,72651,21.41,2.85,13.8,30.3
36857,Adam Shaheen,2500.00,NYJ,TE,MIA,72887,0.60,0.24,-0.1,3.5
11608,Alex Smith,5000.00,NYG,QB,WAS,72653,0.83,0.17,-0.7,6.0
18116,Adam Thielen,7300.00,ATL,WR,MIN,72655,22.36,3.06,13.1,32.3
1849809,Brandon Aiyuk,4300.00,LAR,WR,SFO,72657,10.09,2.35,4.1,16.5
21793,Blake Bell,2800.00,ARI,TE,DAL,72658,1.95,0.7,-0.1,5.2
328392,Braxton Berrios,3400.00,MIA,WR,NYJ,72887,2.97,0.87,-0.1,7.9
18281,Brandin Cooks,5000.00,TEN,WR,HOU,72652,13.65,2.73,6.9,21.2
36989,Brian Hill,4000.00,MIN,RB,ATL,72655,6.19,1.55,1.1,12.5
328157,Baker Mayfield,5700.00,PIT,QB,CLE,72660,16.36,2.87,8.8,24.6
18534,Bruce Miller,4000.00,DET,RB,JAC,72659,0.26,0.07,-0.1,4.5
21551,Breshad Perriman,4100.00,MIA,WR,NYJ,72887,8.66,2.11,3.4,15.1
328853,Byron Pringle,3000.00,BUF,WR,KCC,72662,2.73,0.91,-0.1,7.4
11615,Ben Roethlisberger,6700.00,CLE,QB,PIT,72660,18.70,2.79,11.8,26.4
328763,Boston Scott,4000.00,BAL,RB,PHI,72663,3.48,0.87,-0.1,8.9
982054,Benny Snell,4000.00,CLE,RB,PIT,72660,4.89,1.22,0.7,11.1
49097,Brandon Zylstra,3000.00,CHI,WR,CAR,72656,0.14,0.05,-0.1,4.0
1849790,Cam Akers,4800.00,SFO,RB,LAR,72657,6.23,1.3,1.3,12.6
328550,Cameron Batson,4500.00,HOU,WR,TEN,72652,2.04,0.45,-0.1,6.8
13639,Cole Beasley,4800.00,KCC,WR,BUF,72662,10.68,2.23,4.8,17.1
328305,Chad Beebe,3000.00,ATL,WR,MIN,72655,4.10,1.37,0.6,9.0
328711,Christian Blake,3000.00,MIN,WR,ATL,72655,0.55,0.18,-0.1,4.4
36828,C.J. Board,3000.00,WAS,WR,NYG,72653,4.19,1.4,0.4,8.9
18294,Cameron Brate,3500.00,GBP,TE,TBB,72651,5.07,1.45,1.5,9.8
36837,Cethan Carter,2500.00,IND,TE,CIN,72654,1.13,0.45,-0.1,4.2
1844185,Chase Claypool,5200.00,CLE,WR,PIT,72660,14.08,2.71,6.5,21.5
36973,Corey Clement,4000.00,BAL,RB,PHI,72663,0.61,0.15,-0.1,4.9
21755,Chris Conley,3600.00,DET,WR,JAC,72659,6.11,1.7,1.8,11.7
982234,Chandler Cox,4000.00,NYJ,RB,MIA,72887,0.65,0.16,-0.1,4.9
328948,Chase Edmonds,5200.00,DAL,RB,ARI,72658,10.00,1.92,3.4,17.9
1844865,Clyde Edwards-Helaire,6700.00,BUF,RB,KCC,72662,18.50,2.76,8.0,29.1
982321,Cullen Gillaspia,4000.00,TEN,RB,HOU,72652,0.61,0.15,-0.1,4.9
37002,Chris Godwin,6400.00,GBP,WR,TBB,72651,18.10,2.83,10.1,27.1
35471,C.J. Ham,4000.00,ATL,RB,MIN,72655,3.18,0.8,0.0,9.0
328421,Chris Herndon,3200.00,MIA,TE,NYJ,72887,6.38,1.99,2.5,11.2
1844520,Collin Johnson,3000.00,DET,WR,JAC,72659,1.61,0.54,-0.1,6.2
328952,Christian Kirk,4700.00,DAL,WR,ARI,72658,13.99,2.98,6.7,21.8
1844217,Cole Kmet,2500.00,CAR,TE,CHI,72656,0.89,0.36,-0.1,4.1
37050,Cooper Kupp,6500.00,SFO,WR,LAR,72657,16.58,2.55,8.9,25.1
1844578,CeeDee Lamb,6300.00,ARI,WR,DAL,72658,17.11,2.72,8.9,24.9
21635,Chris Manhertz,2500.00,CHI,TE,CAR,72656,1.00,0.4,-0.1,4.1
11630,Cam Newton,6500.00,DEN,QB,NEP,72888,20.13,3.1,10.0,31.1
16564,Cordarrelle Patterson,3200.00,CAR,WR,CHI,72656,4.16,1.3,0.6,8.8
328705,Calvin Ridley,7800.00,MIN,WR,ATL,72655,19.15,2.46,10.7,28.2
36991,Curtis Samuel,4300.00,CHI,WR,CAR,72656,11.32,2.63,4.2,18.5
328677,Cam Sims,3000.00,NYG,WR,WAS,72653,1.38,0.46,-0.1,5.3
16549,Chris Thompson,4000.00,DET,RB,JAC,72659,6.01,1.5,1.6,12.3
37980,Colin Thompson,2500.00,CHI,TE,CAR,72656,0.06,0.02,-0.1,3.1
35558,Carson Wentz,5600.00,BAL,QB,PHI,72663,17.49,3.12,9.5,25.7
328586,Cedrick Wilson,3100.00,ARI,WR,DAL,72658,4.51,1.45,1.0,9.5
18106,Davante Adams,8000.00,TBB,WR,GBP,72651,23.18,2.9,14.0,33.3
12184,Danny Amendola,4100.00,JAC,WR,DET,72659,8.30,2.02,3.3,14.8
37423,Dan Arnold,3000.00,DAL,TE,ARI,72658,4.61,1.54,1.2,9.3
1844403,Devin Asiasi,2500.00,DEN,TE,NEP,72888,0.23,0.09,-0.1,3.4
21726,Damiere Byrd,3500.00,DEN,WR,NEP,72888,8.04,2.3,2.9,14.2
21554,DeAndre Carter,3000.00,TEN,WR,HOU,72652,0.37,0.12,-0.1,4.0
328522,DJ Chark,6300.00,DET,WR,JAC,72659,11.36,1.8,5.0,18.4
36933,Darrell Daniels,2500.00,DAL,TE,ARI,72658,2.30,0.92,0.0,6.3
1844099,Devin Duvernay,3000.00,PHI,WR,BAL,72663,4.24,1.41,0.3,9.0
18365,Darren Fells,3800.00,TEN,TE,HOU,72652,7.62,2.01,3.0,13.0
328491,,,,,,,0.88,0.0,-0.1,4.7
18261,Devonta Freeman,4900.00,WAS,RB,NYG,72653,15.49,3.16,6.3,25.5
328826,DaeSean Hamilton,3000.00,NEP,WR,DEN,72888,5.64,1.88,1.7,11.4
982258,Damien Harris,5000.00,DEN,RB,NEP,72888,8.21,1.64,3.0,14.9
18312,Demetrius Harris,2500.00,CAR,TE,CHI,72656,2.16,0.86,-0.1,6.0
982822,Darrell Henderson,5600.00,SFO,RB,LAR,72657,10.12,1.81,2.3,17.6
35530,Derrick Henry,7300.00,HOU,RB,TEN,72652,21.09,2.89,10.1,32.8
328153,Dontrell Hilliard,4000.00,PIT,RB,CLE,72660,1.64,0.41,-0.1,6.7
16563,DeAndre Hopkins,8200.00,DAL,WR,ARI,72658,23.79,2.9,14.4,33.6
18343,Dontrelle Inman,3600.00,NYG,WR,WAS,72653,7.91,2.2,3.2,13.7
1247803,D'Ernest Johnson,4000.00,PIT,RB,CLE,72660,6.21,1.55,1.3,12.7
21774,David Johnson,5400.00,TEN,RB,HOU,72652,15.04,2.79,6.0,24.3
21581,Duke Johnson,4000.00,TEN,RB,HOU,72652,7.07,1.77,1.7,14.5
972884,Daniel Jones,5400.00,WAS,QB,NYG,72653,18.20,3.37,9.8,27.3
11768,Dion Lewis,4000.00,WAS,RB,NYG,72653,3.95,0.99,0.8,9.6
982657,Drew Lock,5400.00,NEP,QB,DEN,72888,14.49,2.68,7.3,22.9
982082,David Montgomery,5800.00,CAR,RB,CHI,72656,17.99,3.1,8.0,28.0
1844218,Darnell Mooney,3000.00,CAR,WR,CHI,72656,8.27,2.76,3.3,14.0
328733,D.J. Moore,5900.00,CHI,WR,CAR,72656,15.25,2.58,8.1,22.9
36844,David Njoku,3600.00,PIT,TE,CLE,72660,3.23,0.9,0.3,7.0
21637,DeVante Parker,6300.00,NYJ,WR,MIA,72887,12.76,2.03,6.0,19.9
1844157,Donovan Peoples-Jones,3000.00,PIT,WR,CLE,72660,0.06,0.02,-0.1,3.8
35615,Demarcus Robinson,3300.00,BUF,WR,KCC,72662,8.60,2.61,3.2,14.5
981992,Drew Sample,3400.00,IND,TE,CIN,72654,5.39,1.59,1.8,9.4
982845,Deebo Samuel,4700.00,LAR,WR,SFO,72657,10.99,2.34,4.4,17.7
328583,Dalton Schultz,4500.00,ARI,TE,DAL,72658,8.61,1.91,3.9,13.5
1001389,Darrius Shepherd,3000.00,TBB,WR,GBP,72651,2.86,0.95,-0.1,7.4
982203,Devin Singletary,5700.00,KCC,RB,BUF,72662,13.60,2.39,5.4,22.4
982456,Darius Slayton,5400.00,WAS,WR,NYG,72653,14.39,2.66,7.2,21.7
328366,Durham Smythe,2500.00,NYJ,TE,MIA,72887,1.40,0.56,-0.1,4.6
748330,Diontae Spencer,3000.00,NEP,WR,DEN,72888,2.68,0.89,-0.1,7.4
1844244,D'Andre Swift,4500.00,JAC,RB,DET,72659,10.41,2.31,3.3,18.0
982692,Darwin Thompson,4000.00,BUF,RB,KCC,72662,1.42,0.36,-0.1,5.7
36923,Deshaun Watson,7000.00,TEN,QB,HOU,72652,24.15,3.45,14.9,33.7
35635,Derek Watt,4000.00,CLE,RB,PIT,72660,0.18,0.05,-0.1,4.3
36943,Dede Westbrook,3000.00,DET,WR,JAC,72659,0.41,0.14,-0.1,4.2
328854,Darrel Williams,4000.00,BUF,RB,KCC,72662,5.20,1.3,0.6,11.3
328768,Deon Yelder,2500.00,BUF,TE,KCC,72662,0.26,0.1,-0.1,3.4
18088,Eric Ebron,4100.00,CLE,TE,PIT,72660,9.05,2.21,4.1,14.6
35540,Ezekiel Elliott,8100.00,ARI,RB,DAL,72658,23.18,2.86,11.5,35.8
36968,Evan Engram,4900.00,WAS,TE,NYG,72653,10.05,2.05,4.8,15.6
35636,Elijhaa Penny,4000.00,WAS,RB,NYG,72653,0.19,0.05,-0.1,4.4
328269,Equanimeous St. Brown,3700.00,TBB,WR,GBP,72651,4.19,1.13,0.5,9.6
11670,Frank Gore,4000.00,MIA,RB,NYJ,72887,10.84,2.71,4.0,19.1
16537,Giovani Bernard,4000.00,IND,RB,CIN,72654,4.37,1.09,1.0,9.9
1844330,Gabriel Davis,3400.00,KCC,WR,BUF,72662,5.39,1.59,1.3,10.9
328094,Gus Edwards,4000.00,PHI,RB,BAL,72663,5.76,1.44,2.0,11.8
37058,Gerald Everett,3300.00,SFO,TE,LAR,72657,4.64,1.41,1.2,9.4
37069,George Kittle,6800.00,LAR,TE,SFO,72657,17.23,2.53,10.0,24.6
982379,Gardner Minshew,6400.00,DET,QB,JAC,72659,22.17,3.46,13.2,31.8
1055342,Gunner Olszewski,3000.00,DEN,WR,NEP,72888,1.41,0.47,-0.1,5.2
21690,Geoff Swaim,2500.00,HOU,TE,TEN,72652,0.84,0.34,-0.1,3.8
12738,Golden Tate,4600.00,WAS,WR,NYG,72653,10.95,2.38,5.2,17.8
36972,Greg Ward,4100.00,BAL,WR,PHI,72663,11.07,2.7,5.3,18.0
1844156,Harrison Bryant,2500.00,PIT,TE,CLE,72660,2.48,0.99,0.0,6.4
328091,Hayden Hurst,4700.00,MIN,TE,ATL,72655,8.40,1.79,3.6,13.8
36900,Isaiah Ford,3500.00,NYJ,WR,MIA,72887,8.02,2.29,3.1,14.5
37011,Isaiah McKenzie,3000.00,KCC,WR,BUF,72662,3.38,1.13,-0.1,8.2
328710,Ito Smith,4000.00,MIN,RB,ATL,72655,3.44,0.86,-0.1,9.4
982176,Irv Smith,2500.00,ATL,TE,MIN,72655,5.98,2.39,2.0,10.5
328735,Ian Thomas,2900.00,CHI,TE,CAR,72656,4.29,1.48,1.2,8.4
1844672,Isaiah Wright,3000.00,NYG,WR,WAS,72653,7.05,2.35,2.3,13.0
1844404,Isaiah Zuber,4500.00,DEN,WR,NEP,72888,1.42,0.32,-0.1,6.1
2216284,Jamal Agnew,3000.00,JAC,WR,DET,72659,1.01,0.34,-0.1,4.9
328331,Josh Allen,7900.00,KCC,QB,BUF,72662,24.83,3.14,14.6,35.5
982482,JJ Arcega-Whiteside,3000.00,BAL,WR,PHI,72663,2.06,0.69,-0.1,6.8
18357,John Brown,4900.00,KCC,WR,BUF,72662,10.13,2.07,4.3,16.5
1844126,Joe Burrow,5400.00,IND,QB,CIN,72654,16.68,3.09,8.9,24.7
37009,Jake Butt,3000.00,NEP,TE,DEN,72888,4.78,1.59,1.4,8.8
&nbsp;,,,,,,,0.27,0.0,&nbsp;,&nbsp;
36851,James Conner,7100.00,CLE,RB,PIT,72660,16.27,2.29,6.5,26.4
1002019,,,,,,,0.12,0.0,-0.1,4.4
36892,Jason Croom,4000.00,BAL,TE,PHI,72663,0.04,0.01,-0.1,3.1
21710,Jamison Crowder,6100.00,MIA,WR,NYJ,72887,14.42,2.36,7.4,22.1
1844097,J.K. Dobbins,4200.00,PHI,RB,BAL,72663,6.19,1.47,1.2,12.6
16911,Jack Doyle,2700.00,CIN,TE,IND,72654,6.22,2.3,2.3,11.0
12732,Julian Edelman,5600.00,DEN,WR,NEP,72888,11.95,2.13,5.2,19.2
11610,Joe Flacco,5100.00,MIA,QB,NYJ,72887,14.77,2.9,7.3,23.1
18136,Jimmy Garoppolo,5400.00,LAR,QB,SFO,72657,17.71,3.28,10.1,26.1
35673,Jared Goff,6600.00,SFO,QB,LAR,72657,18.40,2.79,10.4,27.5
472108,Jaeden Graham,2500.00,MIN,TE,ATL,72655,0.13,0.05,-0.1,3.4
11793,Jimmy Graham,5000.00,CAR,TE,CHI,72656,7.88,1.58,3.3,13.4
35483,Jakeem Grant,3000.00,NYJ,WR,MIA,72887,4.90,1.63,0.7,10.1
1849813,JaMycal Hasty,4000.00,LAR,RB,SFO,72657,0.12,0.03,-0.1,4.4
1844641,John Hightower,3000.00,BAL,WR,PHI,72663,6.55,2.18,2.3,12.3
35431,J.P. Holtz,2500.00,CAR,TE,CHI,72656,0.06,0.02,-0.1,4.3
21584,Jesse James,2500.00,JAC,TE,DET,72659,2.78,1.11,0.0,6.6
1844306,Justin Jefferson,6000.00,ATL,WR,MIN,72655,15.45,2.58,8.3,23.2
1844833,Jerry Jeudy,5500.00,NEP,WR,DEN,72888,10.38,1.89,4.6,16.8
963120,Jakob Johnson,4000.00,DEN,RB,NEP,72888,0.78,0.2,-0.1,5.0
12896,Julio Jones,6700.00,MIN,WR,ATL,72655,16.40,2.45,9.1,24.8
18126,Jarvis Landry,4900.00,PIT,WR,CLE,72660,12.88,2.63,6.3,20.2
18113,Jerick McKinnon,4300.00,LAR,RB,SFO,72657,8.21,1.91,2.1,16.0
35578,J.D. McKissic,4400.00,NYG,RB,WAS,72653,8.35,1.9,2.8,15.0
37006,Jeremy McNichols,4000.00,HOU,RB,TEN,72652,4.02,1.01,-0.1,10.1
36833,Joe Mixon,6200.00,IND,RB,CIN,72654,18.01,2.9,8.6,28.3
21751,James O'Shaughnessy,3000.00,DET,TE,JAC,72659,4.17,1.39,0.8,8.8
1844098,James Proche,3000.00,PHI,WR,BAL,72663,0.14,0.05,-0.1,3.9
37051,Josh Reynolds,4100.00,SFO,WR,LAR,72657,7.32,1.79,2.3,12.9
1848519,James Robinson,6800.00,DET,RB,JAC,72659,18.27,2.69,8.4,28.6
328187,Jaylen Samuels,4000.00,CLE,RB,PIT,72660,0.72,0.18,-0.1,4.9
982374,Jeff Smith,3000.00,MIA,WR,NYJ,72887,7.92,2.64,3.0,13.5
36950,Jonnu Smith,5200.00,HOU,TE,TEN,72652,13.16,2.53,6.6,19.1
36849,JuJu Smith-Schuster,6600.00,CLE,WR,PIT,72660,14.07,2.13,7.1,21.3
36981,Jeremy Sprinkle,2500.00,NYG,TE,WAS,72653,0.21,0.08,-0.1,3.4
982141,Jace Sternberger,2500.00,TBB,TE,GBP,72651,1.95,0.78,-0.1,5.8
1844398,J.J. Taylor,4000.00,DEN,RB,NEP,72888,1.23,0.31,-0.1,5.4
1844485,Jonathan Taylor,6400.00,CIN,RB,IND,72654,16.27,2.54,6.7,26.5
328180,James Washington,4200.00,CLE,WR,PIT,72660,10.17,2.42,4.6,16.8
328793,Justin Watson,3000.00,GBP,WR,TBB,72651,2.11,0.7,-0.1,6.8
18458,James White,4800.00,DEN,RB,NEP,72888,10.10,2.1,3.6,17.8
328488,Jordan Wilkins,4000.00,CIN,RB,IND,72654,4.09,1.02,0.4,9.6
36872,Jamaal Williams,4000.00,TBB,RB,GBP,72651,8.44,2.11,2.1,15.1
329007,Jeff Wilson,4000.00,LAR,RB,SFO,72657,4.24,1.06,0.2,10.1
328210,Javon Wims,3000.00,CAR,WR,CHI,72656,1.12,0.37,-0.1,4.9
328736,Kyle Allen,5100.00,NYG,QB,WAS,72653,15.63,3.06,8.0,23.5
982177,Khari Blasingame,4500.00,HOU,RB,TEN,72652,0.01,0.0,-0.1,4.3
37068,Kendrick Bourne,3700.00,LAR,WR,SFO,72657,5.60,1.51,1.5,11.3
36940,Keelan Cole,4900.00,DET,WR,JAC,72659,9.69,1.98,3.7,16.1
