"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Kyler Murray","ARI","DET","QB","$6800","26.3","5.3","19%","15456806"
"Miles Sanders","PHI","CIN","RB","$6400","20.4","4.8","36%","15456892"
"Kenyan Drake","ARI","DET","RB","$6000","18.5","3.7","28%","15456900"
"DeAndre Hopkins","ARI","DET","WR","$7900","22.3","3.6","28%","15457108"
"Jonathan Taylor","IND","NYJ","RB","$7000","20.5","3.6","28%","15456880"
"Ezekiel Elliott","DAL","SEA","RB","$8300","22.2","2.8","19%","15456872"
"Amari Cooper","DAL","SEA","WR","$6500","18.6","2.7","23%","15457124"
"Cam Newton","NE","LV","QB","$6700","23.4","2.7","7%","15456807"
"Carson Wentz","PHI","CIN","QB","$5800","20.7","2.7","7%","15456817"
"Calvin Ridley","ATL","CHI","WR","$7200","19.8","2.6","11%","15457112"
"Josh Allen","BUF","LA","QB","$6900","23.7","2.4","7%","15456805"
"Tyler Lockett","SEA","DAL","WR","$6400","18.0","2.4","19%","15457128"
"DJ Moore","CAR","LAC","WR","$6100","17.4","2.3","11%","15457142"
"Derrick Henry","TEN","MIN","RB","$7800","20.7","2.3","11%","15456874"
"Adam Thielen","MIN","TEN","WR","$6900","18.9","2.2","11%","15457116"
"Diontae Johnson","PIT","HOU","WR","$5400","15.9","2.2","19%","15457172"
"Russell Wilson","SEA","DAL","QB","$7300","24.6","2.1","15%","15456803"
"Chris Carson","SEA","DAL","RB","$6600","18.0","2.0","11%","15456888"
"DK Metcalf","SEA","DAL","WR","$6500","17.7","1.9","19%","15457126"
"James Conner","PIT","HOU","RB","$6700","17.9","1.7","7%","15456886"
"Devin Singletary","BUF","LA","RB","$4900","14.4","1.6","15%","15456934"
"Matthew Stafford","DET","ARI","QB","$6300","21.0","1.5","3%","15456811"
"Hunter Henry","LAC","CAR","TE","$4800","14.0","1.5","11%","15457488"
"Odell Beckham Jr.","CLE","WAS","WR","$6300","16.9","1.4","3%","15457132"
"Zach Ertz","PHI","CIN","TE","$5100","14.4","1.3","15%","15457482"
"Darren Waller","LV","NE","TE","$5700","15.5","1.2","3%","15457474"
"Dalvin Cook","MIN","TEN","RB","$7600","19.2","1.2","7%","15456876"
"Kenny Golladay","DET","ARI","WR","$6200","16.3","1.1","7%","15457138"
"Austin Ekeler","LAC","CAR","RB","$6800","17.6","1.1","11%","15456884"
"Darius Slayton","NYG","SF","WR","$4900","13.8","1.1","7%","15457196"
"Daniel Jones","NYG","SF","QB","$5500","18.1","1.0","3%","15456823"
"Mike Davis","CAR","LAC","RB","$5100","13.9","0.8","7%","15456922"
"T.Y. Hilton","IND","NYJ","WR","$5600","14.9","0.8","7%","15457162"
"Ryan Tannehill","TEN","MIN","QB","$5900","19.1","0.8","1%","15456815"
"Stefon Diggs","BUF","LA","WR","$7000","17.5","0.7","7%","15457114"
"Allen Robinson II","CHI","ATL","WR","$6200","15.9","0.7","7%","15457134"
"CeeDee Lamb","DAL","SEA","WR","$5400","14.3","0.6","23%","15457170"
"Jared Goff","LA","BUF","QB","$5600","17.9","0.6","3%","15456822"
"Dallas Goedert","PHI","CIN","TE","$4900","13.3","0.6","15%","15457486"
"Adam Humphries","TEN","MIN","WR","$3900","11.3","0.6","1%","15457244"
"Dak Prescott","DAL","SEA","QB","$7200","22.7","0.5","11%","15456804"
"Justin Herbert","LAC","CAR","QB","$5900","18.7","0.4","3%","15456816"
"Mike Williams","LAC","CAR","WR","$4300","12.0","0.4","3%","15457216"
"N'Keal Harry","NE","LV","WR","$4200","11.7","0.4","11%","15457220"
"Hayden Hurst","ATL","CHI","TE","$4700","12.6","0.3","3%","15457490"
"JuJu Smith-Schuster","PIT","HOU","WR","$6600","16.4","0.3","7%","15457122"
"Terry McLaurin","WAS","CLE","WR","$5900","15.0","0.3","11%","15457154"
"Curtis Samuel","CAR","LAC","WR","$4000","11.0","0.1","3%","15457234"
"Baker Mayfield","CLE","WAS","QB","$5700","17.8","0.1","1%","15456819"
"Chris Herndon","NYJ","IND","TE","$3400","9.8","0.1","3%","15457524"
"Larry Fitzgerald","ARI","DET","WR","$4600","12.1","0.0","3%","15457200"
"Russell Gage","ATL","CHI","WR","$5100","13.1","0.0","7%","15457186"
"Kareem Hunt","CLE","WAS","RB","$6100","15.1","0.0","3%","15456898"
"DeSean Jackson","PHI","CIN","WR","$5200","13.3","0.0","7%","15457180"
"Mitchell Trubisky","CHI","ATL","QB","$5700","17.6","-0.1","3%","15456818"
"KJ Hamler","DEN","TB","WR","$3000","8.9","-0.1","11%","15457334"
"Julian Edelman","NE","LV","WR","$6200","15.2","-0.1","7%","15457136"
"Tom Brady","TB","DEN","QB","$6100","18.8","-0.1","3%","15456813"
"Andy Isabella","ARI","DET","WR","$3800","10.4","-0.2","7%","15457252"
"Jarvis Landry","CLE","WAS","WR","$5500","13.7","-0.2","3%","15457168"
"David Johnson","HOU","PIT","RB","$5400","13.5","-0.2","3%","15456910"
"Giants ","NYG","SF","DST","$2700","7.1","-0.2","11%","15457709"
"Eagles ","PHI","CIN","DST","$2800","7.4","-0.2","15%","15457707"
"Joe Mixon","CIN","PHI","RB","$5900","14.4","-0.3","7%","15456902"
"Melvin Gordon III","DEN","TB","RB","$5800","14.1","-0.3","3%","15456906"
"Deshaun Watson","HOU","PIT","QB","$6500","19.8","-0.3","3%","15456809"
"Evan Engram","NYG","SF","TE","$5000","12.6","-0.3","7%","15457484"
"Chris Godwin","TB","DEN","WR","$6700","15.9","-0.3","3%","15457120"
"Todd Gurley II","ATL","CHI","RB","$5800","14.1","-0.4","3%","15456904"
"Rex Burkhead","NE","LV","RB","$4000","10.6","-0.4","1%","15457098"
"Jeff Wilson Jr.","SF","NYG","RB","$4000","10.6","-0.4","3%","15457074"
"Drew Sample","CIN","PHI","TE","$3500","9.5","-0.5","7%","15457514"
"Michael Gallup","DAL","SEA","WR","$5500","13.4","-0.5","11%","15457166"
"Marvin Jones Jr.","DET","ARI","WR","$5800","14.0","-0.5","7%","15457158"
"Will Fuller V","HOU","PIT","WR","$6000","14.4","-0.5","3%","15457148"
"Michael Pittman Jr.","IND","NYJ","WR","$4000","10.4","-0.5","3%","15457240"
"Kirk Cousins","MIN","TEN","QB","$5500","16.6","-0.5","1%","15456824"
"Texans ","HOU","PIT","DST","$2100","5.7","-0.5","7%","15457716"
"Matt Ryan","ATL","CHI","QB","$6600","19.8","-0.6","3%","15456808"
"Braxton Berrios","NYJ","IND","WR","$3600","9.5","-0.6","1%","15457278"
"Ben Roethlisberger","PIT","HOU","QB","$6400","19.2","-0.6","3%","15456810"
"Jordan Reed","SF","NYG","TE","$4000","10.3","-0.6","7%","15457502"
"Corey Davis","TEN","MIN","WR","$5200","12.7","-0.6","3%","15457184"
"Josh Jacobs","LV","NE","RB","$7300","16.8","-0.7","3%","15456878"
"Keenan Allen","LAC","CAR","WR","$6100","14.4","-0.7","3%","15457144"
"Mike Evans","TB","DEN","WR","$6800","15.8","-0.7","3%","15457118"
"Jonnu Smith","TEN","MIN","TE","$5200","12.6","-0.7","3%","15457480"
"Panthers ","CAR","LAC","DST","$2200","5.7","-0.7","7%","15457715"
"Joe Burrow","CIN","PHI","QB","$6200","18.4","-0.8","3%","15456812"
"Nick Mullens","SF","NYG","QB","$5100","15.1","-0.8","1%","15456830"
"Falcons ","ATL","CHI","DST","$2800","6.7","-0.8","3%","15457708"
"Zach Pascal","IND","NYJ","WR","$4500","11.0","-0.9","1%","15457210"
"Logan Thomas","WAS","CLE","TE","$3700","9.4","-0.9","11%","15457508"
"Colts ","IND","NYJ","DST","$4100","9.3","-0.9","11%","15457692"
"Robby Anderson","CAR","LAC","WR","$5200","12.3","-1.0","3%","15457178"
"Van Jefferson Jr.","LA","BUF","WR","$3100","8.2","-1.0","1%","15457304"
"Leonard Fournette","TB","DEN","RB","$6200","14.3","-1.0","3%","15456896"
"Chargers ","LAC","CAR","DST","$3600","8.2","-1.0","1%","15457697"
"Jets ","NYJ","IND","DST","$2000","5.0","-1.0","3%","15457717"
"Steelers ","PIT","HOU","DST","$4000","8.9","-1.1","7%","15457693"
"49ers ","SF","NYG","DST","$3500","7.9","-1.1","3%","15457698"
"John Brown","BUF","LA","WR","$5700","13.1","-1.2","3%","15457160"
"A.J. Green","CIN","PHI","WR","$6000","13.7","-1.2","7%","15457146"
"Damiere Byrd","NE","LV","WR","$3000","7.7","-1.2","1%","15457454"
"Jeff Driskel","DEN","TB","QB","$5300","15.1","-1.3","1%","15456826"
"Philip Rivers","IND","NYJ","QB","$6000","17.3","-1.3","1%","15456814"
"Browns ","CLE","WAS","DST","$3800","8.2","-1.3","7%","15457695"
"Teddy Bridgewater","CAR","LAC","QB","$5200","14.8","-1.4","1%","15456828"
"Tyler Boyd","CIN","PHI","WR","$5900","13.3","-1.4","7%","15457152"
"Cooper Kupp","LA","BUF","WR","$6300","14.1","-1.4","3%","15457130"
