playerid,player,salary,opp,pos,team,fpts,floor,ceil
37421,Alex Armah,4000,ATL,RB,CAR,0.83,-0.04250000000000001,5.0
21757,Amari Cooper,7400,NYG,WR,DAL,20.01,11.5,29.0
982346,Ashton Dulin,3000,CLE,WR,IND,1.15,0.03749999999999998,4.9
35425,Alex Erickson,3000,BAL,WR,CIN,1.7,0.175,5.6
1844674,Antonio Gandy-Golden,3000,LAR,WR,WAS,2.28,0.31999999999999995,7.1
1844676,Antonio Gibson,5000,LAR,RB,WAS,13.55,5.8,22.1
12897,A.J. Green,4800,BAL,WR,CIN,8.91,3.7,15.4
35576,Austin Hooper,4100,IND,TE,CLE,8.85,4.3,13.9
1001990,Alec Ingold,4000,KCC,RB,LVR,2.21,0.3025,7.7
982789,Andy Isabella,4200,NYJ,WR,ARI,5.89,1.4,11.5
35610,Andy Janovich,4000,IND,RB,CLE,1.06,0.015000000000000013,5.4
36998,Alvin Kamara,8200,LAC,RB,NOS,25.73,13.6,37.9
982173,Alexander Mattison,4000,SEA,RB,MIN,6.93,1.1,13.1
1844186,Anthony McFarland,4000,PHI,RB,PIT,4.06,0.2,9.8
36857,Adam Shaheen,2500,SFO,TE,MIA,1.67,0.16749999999999998,5.6
16608,Anthony Sherman,4000,LVR,RB,KCC,0.89,-0.027499999999999997,5.0
11608,Alex Smith,4400,LAR,QB,WAS,0.85,-0.037500000000000006,6.0
328123,Auden Tate,3000,BAL,WR,CIN,2.73,0.4325,7.3
18116,Adam Thielen,7000,SEA,WR,MIN,16.7,8.7,25.4
1844770,Adam Trautman,2700,LAC,TE,NOS,2.02,0.255,6.1
1849809,Brandon Aiyuk,5200,MIA,WR,SFO,10.12,3.7,16.3
21793,Blake Bell,2800,NYG,TE,DAL,1.8,0.2,4.9
328392,Braxton Berrios,3600,ARI,WR,NYJ,4.15,0.7,9.1
18281,Brandin Cooks,4100,JAC,WR,HOU,11.23,4.9,18.2
18298,Bennie Fowler,3000,LAC,WR,NOS,2.07,0.26749999999999996,6.8
36989,Brian Hill,4000,CAR,RB,ATL,6.47,1.2,12.7
328157,Baker Mayfield,5700,IND,QB,CLE,15.94,8.8,24.2
18534,Bruce Miller,4000,HOU,RB,JAC,0.61,-0.0975,5.0
328242,Brandon Powell,3000,CAR,WR,ATL,0.39,-0.1525,4.2
11615,Ben Roethlisberger,6600,PHI,QB,PIT,19.17,12.1,26.7
328763,Boston Scott,4000,PIT,RB,PHI,4.33,0.3,9.9
982054,Benny Snell,4000,PHI,RB,PIT,4.08,0.4,9.7
49097,Brandon Zylstra,3000,ATL,WR,CAR,0.34,-0.16499999999999998,4.2
1849790,Cam Akers,4000,WAS,RB,LAR,5.96,1.0,11.6
328305,Chad Beebe,3000,SEA,WR,MIN,2.54,0.385,7.3
328711,Christian Blake,3000,CAR,WR,ATL,3.26,0.2,8.2
36828,C.J. Board,3000,DAL,WR,NYG,4.01,0.5,9.1
37073,Chris Carson,6400,MIN,RB,SEA,18.55,8.0,29.0
36837,Cethan Carter,2500,BAL,TE,CIN,1.38,0.09499999999999997,4.5
1844185,Chase Claypool,4100,PHI,WR,PIT,5.1,1.1,9.9
36973,Corey Clement,4000,PIT,RB,PHI,1.22,0.05499999999999999,5.6
21755,Chris Conley,3300,HOU,WR,JAC,7.09,2.5,12.8
982234,Chandler Cox,4000,SFO,RB,MIA,0.12,-0.22,4.4
328948,Chase Edmonds,4700,NYJ,RB,ARI,8.49,2.4,16.4
1844865,Clyde Edwards-Helaire,6800,LVR,RB,KCC,20.58,9.0,32.0
35471,C.J. Ham,4000,SEA,RB,MIN,1.82,0.20500000000000002,5.9
328421,Chris Herndon,3200,ARI,TE,NYJ,7.73,3.5,12.8
16612,Chris Hogan,3000,ARI,WR,NYJ,9.17,3.8,15.6
18387,Carlos Hyde,4400,MIN,RB,SEA,5.67,1.0,12.4
1844520,Collin Johnson,3000,HOU,WR,JAC,0.74,-0.065,4.4
328952,Christian Kirk,4700,NYJ,WR,ARI,10.2,3.7,17.5
37050,Cooper Kupp,6500,WAS,WR,LAR,16.59,8.8,24.6
1844578,CeeDee Lamb,6000,NYG,WR,DAL,14.04,6.5,21.3
21635,Chris Manhertz,2500,ATL,TE,CAR,1.41,0.10249999999999998,4.6
328705,Calvin Ridley,7500,CAR,WR,ATL,19.96,11.5,29.5
36991,Curtis Samuel,4800,ATL,WR,CAR,12.72,4.9,20.9
328677,Cam Sims,3000,LAR,WR,WAS,1.36,0.09000000000000002,5.3
