player,team,opp,pos,salary,proj,value,ownership,dk_slate_id
Mike Davis,CAR,CHI,RB,7000,20.9,4.1,23,15607603
A.J. Brown,TEN,HOU,WR,5600,17.9,3.8,28,15607845
Kenny Golladay,DET,JAX,WR,6200,18.9,3.6,36,15607831
Alexander Mattison,MIN,ATL,RB,7200,20.7,3.5,28,15607599
Derrick Henry,TEN,HOU,RB,7300,20.9,3.4,23,15607597
Ryan Tannehill,TEN,HOU,QB,5900,21.6,3.3,11,15607546
Ryan Fitzpatrick,MIA,NYJ,QB,5900,21.4,3.1,7,15607545
Adam Thielen,MIN,ATL,WR,7300,20.5,3.0,28,15607807
Robby Anderson,CAR,CHI,WR,6300,18.4,2.9,11,15607825
Chase Claypool,PIT,CLE,WR,5200,16.1,2.8,28,15607853
Davante Adams,GB,TB,WR,8000,21.6,2.7,11,15607803
Matthew Stafford,DET,JAX,QB,6300,22.1,2.6,19,15607542
David Montgomery,CHI,CAR,RB,5800,17.0,2.5,15,15607623
James Robinson,JAX,DET,RB,6800,19.0,2.5,15,15607607
Myles Gaskin,MIA,NYJ,RB,5400,16.1,2.4,15,15607629
Aaron Jones,GB,TB,RB,7600,20.3,2.3,11,15607595
Tom Brady,TB,GB,QB,6500,22.3,2.2,7,15607540
Cam Newton,NE,DEN,QB,6500,22.2,2.1,7,15607539
Chris Godwin,TB,GB,WR,6400,17.6,1.9,11,15607821
Gardner Minshew II,JAX,DET,QB,6400,21.6,1.8,3,15607541
Daniel Jones,NYG,WAS,QB,5400,18.5,1.8,3,15607553
Calvin Ridley,ATL,MIN,WR,7800,20.2,1.7,7,15607805
Terry McLaurin,WAS,NYG,WR,5700,16.0,1.7,15,15607841
Deshaun Watson,HOU,TEN,QB,7000,23.2,1.6,7,15607536
Kareem Hunt,CLE,PIT,RB,6900,18.2,1.5,7,15607605
Jonathan Taylor,IND,CIN,RB,6400,17.1,1.4,15,15607611
Justin Jefferson,MIN,ATL,WR,6000,16.3,1.4,11,15607835
Phillip Lindsay,DEN,NE,RB,4300,12.8,1.3,11,15607651
Julian Edelman,NE,DEN,WR,5600,15.4,1.3,7,15607843
Kirk Cousins,MIN,ATL,QB,6100,19.9,1.1,7,15607543
Miles Sanders,PHI,BAL,RB,6600,17.2,1.1,3,15607609
Allen Robinson II,CHI,CAR,WR,7000,17.8,1.0,7,15607809
Ronald Jones II,TB,GB,RB,6000,15.8,0.9,7,15607621
T.Y. Hilton,IND,CIN,WR,5000,13.7,0.7,7,15607861
Dolphins ,MIA,NYJ,DST,2900,7.4,0.7,15,15608293
Marquise Brown,BAL,PHI,WR,6500,16.5,0.6,7,15607819
Trey Burton,IND,CIN,TE,3100,9.8,0.6,19,15608155
Ben Roethlisberger,PIT,CLE,QB,6700,21.3,0.6,3,15607537
Matt Ryan,ATL,MIN,QB,6600,20.9,0.5,7,15607538
Joe Mixon,CIN,IND,RB,6200,15.8,0.5,7,15607615
Devonta Freeman,NYG,WAS,RB,4900,13.2,0.5,7,15607639
Will Fuller V,HOU,TEN,WR,6800,16.8,0.4,7,15607813
Lamar Jackson,BAL,PHI,QB,7700,23.9,0.2,7,15607534
DeVante Parker,MIA,NYJ,WR,6300,15.7,0.2,7,15607829
JuJu Smith-Schuster,PIT,CLE,WR,6600,16.2,0.2,7,15607817
Antonio Gibson,WAS,NYG,RB,5500,14.1,0.2,7,15607625
DJ Moore,CAR,CHI,WR,5900,14.8,0.1,3,15607837
Odell Beckham Jr.,CLE,PIT,WR,6400,15.8,0.1,3,15607823
Brandin Cooks,HOU,TEN,WR,5000,13.0,0.1,11,15607859
Damiere Byrd,NE,DEN,WR,3500,10.1,0.1,3,15607935
Julio Jones,ATL,MIN,WR,6700,16.3,0.0,7,15607815
Vikings ,MIN,ATL,DST,2300,5.6,0.0,15,15608300
James White,NE,DEN,RB,4800,12.4,-0.1,1,15607641
Adam Humphries,TEN,HOU,WR,4000,10.8,-0.1,1,15607909
Panthers ,CAR,CHI,DST,2900,6.6,-0.1,3,15608292
Darnell Mooney,CHI,CAR,WR,3000,8.8,-0.2,3,15608011
Joe Burrow,CIN,IND,QB,5400,16.6,-0.2,3,15607554
James Conner,PIT,CLE,RB,7100,16.9,-0.2,7,15607601
Tee Higgins,CIN,IND,WR,4700,12.0,-0.3,3,15607879
Jarvis Landry,CLE,PIT,WR,4900,12.4,-0.3,1,15607865
Austin Hooper,CLE,PIT,TE,3900,10.5,-0.3,7,15608135
Mike Evans,TB,GB,WR,6900,16.4,-0.3,7,15607811
Jonnu Smith,TEN,HOU,TE,5200,13.0,-0.3,11,15608115
Titans ,TEN,HOU,DST,2800,6.2,-0.3,11,15608294
Teddy Bridgewater,CAR,CHI,QB,6000,18.2,-0.4,1,15607544
Darius Slayton,NYG,WAS,WR,5400,13.3,-0.4,7,15607849
Carson Wentz,PHI,BAL,QB,5600,17.0,-0.4,1,15607550
Bengals ,CIN,IND,DST,2100,4.8,-0.4,3,15608302
Baker Mayfield,CLE,PIT,QB,5700,17.2,-0.5,1,15607549
David Johnson,HOU,TEN,RB,5400,13.2,-0.5,3,15607627
Colts ,IND,CIN,DST,4000,8.4,-0.5,7,15608283
WAS Football Team ,WAS,NYG,DST,3300,7.0,-0.5,3,15608288
Todd Gurley II,ATL,MIN,RB,6300,14.9,-0.6,3,15607613
Tyler Boyd,CIN,IND,WR,5800,13.9,-0.6,3,15607839
Marvin Jones Jr.,DET,JAX,WR,5100,12.6,-0.6,7,15607857
Jets ,NYJ,MIA,DST,2400,5.2,-0.6,3,15608299
Laviska Shenault Jr.,JAX,DET,WR,5200,12.6,-0.7,7,15607851
Travis Fulgham,PHI,BAL,WR,4400,11.0,-0.7,7,15607893
James Washington,PIT,CLE,WR,4200,10.7,-0.7,3,15607901
Eric Ebron,PIT,CLE,TE,4100,10.4,-0.7,11,15608131
Kyle Allen,WAS,NYG,QB,5100,15.1,-0.8,1,15607561
Adrian Peterson,DET,JAX,RB,4700,11.4,-0.9,1,15607643
Isaiah Ford,MIA,NYJ,WR,3500,9.1,-0.9,1,15607931
Steelers ,PIT,CLE,DST,3600,7.3,-0.9,11,15608285
Robert Tonyan,GB,TB,TE,5100,12.1,-1.0,7,15608117
N'Keal Harry,NE,DEN,WR,4500,10.9,-1.0,3,15607887
Zach Ertz,PHI,BAL,TE,5000,11.9,-1.0,3,15608121
Marquez Valdes-Scantling,GB,TB,WR,4600,11.1,-1.1,3,15607883
Philip Rivers,IND,CIN,QB,5900,17.2,-1.1,1,15607547
Logan Thomas,WAS,NYG,TE,3300,8.4,-1.1,1,15608151
Curtis Samuel,CAR,CHI,WR,4300,10.3,-1.2,1,15607897
Aaron Rodgers,GB,TB,QB,7500,21.9,-1.2,7,15607535
Nyheim Hines,IND,CIN,RB,4000,9.7,-1.2,1,15607763
Jamison Crowder,NYJ,MIA,WR,6100,13.9,-1.2,7,15607833
Giants ,NYG,WAS,DST,3200,6.2,-1.2,7,15608289
Mark Andrews,BAL,PHI,TE,6500,14.6,-1.3,11,15608107
Tim Patrick,DEN,NE,WR,4500,10.7,-1.3,1,15607889
Irv Smith Jr.,MIN,ATL,TE,2500,6.6,-1.3,15,15608243
Evan Engram,NYG,WAS,TE,4900,11.4,-1.3,3,15608123
Lions ,DET,JAX,DST,3000,5.6,-1.4,3,15608291
T.J. Hockenson,DET,JAX,TE,5300,12.1,-1.5,3,15608113
Frank Gore,NYJ,MIA,RB,4000,9.4,-1.5,1,15607775
Browns ,CLE,PIT,DST,2700,4.8,-1.5,3,15608296
DJ Chark Jr.,JAX,DET,WR,6300,13.9,-1.6,3,15607827
Joe Flacco,NYJ,MIA,QB,5100,14.3,-1.6,1,15607560
Falcons ,ATL,MIN,DST,2200,3.8,-1.6,1,15608301
Nick Foles,CHI,CAR,QB,5800,16.3,-1.7,1,15607548
John Hightower,PHI,BAL,WR,3000,7.2,-1.8,1,15608101
Patriots ,NE,DEN,DST,4100,7.4,-1.8,3,15608282
Chris Herndon,NYJ,MIA,TE,3200,7.4,-1.9,1,15608153
Greg Ward,PHI,BAL,WR,4100,9.3,-1.9,1,15607907
